ID,N300,N301,N302,N303,N304,N305,N306,N307,N308,N309,N311,N312,N313,N314,N315,N316,N317,N318,N321,N322,N323,N324,N325,N327,N328,N329,N331,N332,N333,N334,N335,N336,N338,N339,N340,N341,N342,N343,N344,N345,N346,N347,N350,N351,N352,N353,N354,N355,N356,N357,N358,N359,N360,N361,N362,N363,N364,N365,N366,N367,N368,N369,N370,N371,N374
N300,6,5,1,2,1,2,3,5,2,2,5,1,2,5,2,1,1,2,2,2,2,2,5,1,1,1,5,2,2,1,1,1,5,4,1,5,2,2,2,2,2,2,2,1,5,3,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,5,1,1,1
N301,4,6,1,2,1,1,2,5,1,2,4,1,2,4,2,2,1,3,2,2,1,1,4,1,1,1,4,2,2,1,1,3,4,3,1,4,2,1,2,2,2,3,2,1,3,1,3,1,1,2,2,2,2,2,1,1,1,3,3,2,1,3,1,2,1
N302,1,1,6,2,5,4,2,2,4,3,2,5,2,2,3,3,3,3,3,4,4,4,2,5,3,4,1,4,3,5,5,2,2,3,5,2,3,4,5,3,3,3,1,4,1,3,2,3,3,3,1,3,2,2,3,1,1,2,2,2,3,2,2,4,1
N303,1,1,1,6,1,3,2,2,1,1,1,1,1,1,1,2,2,1,4,3,2,2,1,1,2,1,1,4,3,1,1,1,3,3,1,1,4,1,1,1,1,5,2,1,1,1,5,1,1,3,1,2,3,1,2,5,2,1,1,1,1,1,5,1,5
N304,1,1,5,1,6,2,2,1,3,2,1,5,2,2,3,4,2,3,2,5,3,3,2,5,5,1,1,2,2,4,3,2,2,2,3,2,2,4,4,3,2,2,3,1,1,1,2,2,1,2,2,1,1,3,2,1,2,4,1,1,3,1,1,4,1
N305,1,1,3,1,2,6,2,1,3,1,1,2,4,1,3,2,3,2,3,3,2,2,1,2,1,5,1,1,4,4,3,2,1,2,4,1,4,3,4,1,2,3,2,3,1,2,3,2,3,2,1,4,1,1,4,1,2,1,3,1,2,2,1,3,2
N306,2,2,1,1,1,1,6,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,2,1,5,1,1,1,1,1,2,1,1,1,2,5,1,1,2,1,1,1,1,1,1,1,5,1,3,1
N307,4,4,1,2,1,2,2,6,1,1,5,1,1,3,1,1,1,1,2,1,1,1,5,1,1,1,5,1,2,1,1,1,5,3,1,5,1,1,1,1,1,3,2,1,3,2,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,4,1,1,1
N308,1,1,4,2,4,3,2,1,6,3,2,4,2,1,4,4,3,2,2,4,4,4,2,3,4,3,1,3,3,4,4,3,1,1,4,2,3,5,4,2,4,2,2,4,2,3,2,3,2,3,3,5,1,3,4,1,3,1,1,1,2,1,1,4,1
N309,2,1,2,1,2,2,3,1,4,6,1,2,3,1,2,2,2,4,3,1,2,2,1,1,1,3,1,2,2,1,1,5,2,2,2,1,1,2,1,3,3,2,5,1,1,2,1,3,1,1,4,2,1,3,2,1,2,1,1,2,1,2,1,2,1
