ID,N200,N201,N202,N203,N204,N205,N207,N208,N209,N210,N211,N212,N213,N215,N216,N217,N218,N219,N220,N221,N222,N223,N224,N225,N226,N227,N228,N229,N230,N231,N232,N233,N234,N235,N236,N237,N238,N240,N241,N242,N243,N244,N245,N246,N247,N248,N249,N250,N251,N252,N253,N254,N255,N256,N257,N258,N259,N260,N261
N200,6,2,1,2,3,3,3,2,2,3,2,2,1,1,2,1,3,2,3,3,2,3,1,1,3,2,2,2,3,3,2,2,5,2,1,3,3,2,2,3,4,2,2,1,2,4,1,2,1,3,1,2,2,2,1,1,3,2,1
N201,2,6,2,5,4,3,3,5,5,4,1,1,5,2,2,2,4,2,3,1,1,3,1,1,3,3,3,1,5,4,5,2,2,5,5,5,3,2,1,2,2,1,1,2,3,4,1,1,3,3,1,1,2,1,1,1,2,2,1
N202,2,1,6,2,2,2,1,1,2,2,3,3,2,2,3,1,3,4,3,3,2,3,1,4,1,1,4,1,1,3,2,2,3,3,2,3,3,1,2,2,3,2,3,1,2,2,3,3,2,3,3,4,4,2,3,2,3,3,3
N203,2,5,3,6,2,4,5,5,5,3,4,2,5,3,1,3,3,2,2,3,5,2,2,2,2,2,2,2,5,5,5,5,3,5,4,3,2,5,3,2,4,4,1,3,5,2,3,2,2,2,1,1,2,1,1,1,3,2,1
N204,4,4,2,2,6,3,3,4,3,5,2,2,3,2,2,2,5,2,3,3,2,2,2,2,5,2,3,3,4,4,5,2,4,4,2,4,4,3,2,2,2,2,2,2,5,3,2,1,1,3,1,1,1,2,1,1,1,2,1
N205,2,3,2,4,3,6,5,3,4,2,2,3,4,3,3,2,5,4,3,4,2,3,1,2,3,2,2,2,3,3,4,3,4,3,3,3,4,4,2,4,3,2,2,2,5,5,4,2,3,2,3,2,3,3,1,1,3,4,3
N207,4,3,1,5,2,5,6,3,4,3,1,2,3,2,3,3,3,1,4,4,1,2,1,1,3,2,3,2,3,4,3,2,3,3,2,3,2,4,2,4,3,2,2,2,3,5,5,1,2,3,2,1,1,2,1,1,1,4,1
N208,1,5,1,4,4,2,2,6,5,3,1,1,5,1,1,1,2,1,2,2,1,3,1,2,3,1,3,2,5,5,5,2,1,5,5,5,3,2,1,3,4,2,1,1,2,3,1,1,2,2,1,1,1,1,1,1,1,2,1
N209,2,5,2,3,3,3,3,5,6,3,2,2,5,2,2,2,3,1,3,1,1,3,1,2,3,3,4,2,5,5,5,2,2,5,4,5,4,3,1,3,3,3,1,2,3,3,2,1,2,2,2,1,2,2,1,1,2,3,2
N210,3,3,2,2,5,2,1,3,3,6,1,2,3,2,3,2,5,2,2,1,2,4,2,2,5,3,3,3,4,4,4,3,2,3,1,2,2,3,2,2,2,2,2,1,5,2,1,3,1,4,2,2,2,1,2,2,1,1,1
N211,2,1,4,2,3,2,3,1,3,2,6,4,1,4,1,4,2,4,3,3,5,1,3,2,1,2,1,1,2,3,3,4,3,1,3,3,3,2,3,3,2,5,2,3,2,3,3,1,1,3,2,3,1,2,3,2,3,2,1
N212,2,2,3,3,1,3,3,2,2,1,3,6,2,4,1,3,1,2,1,1,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,1,1,4,2,1,4,1,3,3,4,3,3,2,2,2,4,1,1,2,2,1
N213,2,5,3,4,3,3,2,5,5,4,1,1,6,2,2,2,4,2,3,2,2,3,2,2,3,3,3,2,5,5,5,3,2,5,4,4,3,3,2,2,3,2,2,2,3,3,2,1,3,3,2,1,3,2,2,2,3,1,1
N215,2,2,1,4,1,3,4,2,2,2,4,4,2,6,2,5,2,4,2,2,3,2,2,2,1,1,1,3,1,1,2,3,2,3,2,1,1,3,3,1,4,4,3,5,1,2,4,1,1,1,1,1,1,1,3,1,1,2,1
N216,2,2,2,3,1,4,5,2,1,1,1,1,1,1,6,2,2,3,3,5,4,3,2,2,3,3,3,2,3,4,3,5,1,3,4,4,3,1,1,3,4,1,1,1,4,5,2,4,2,2,1,1,3,4,2,3,1,5,1
N217,1,2,2,4,1,3,3,2,2,1,3,2,2,5,2,6,1,2,2,3,3,2,2,2,1,3,1,3,2,1,2,3,1,2,3,2,1,2,3,2,4,3,1,5,1,1,5,2,2,1,2,1,2,2,1,1,2,2,2
N218,3,3,3,3,5,5,3,3,3,5,1,2,3,2,3,2,6,2,3,2,2,3,3,3,5,2,5,4,4,4,4,3,3,3,2,3,3,4,3,4,2,1,3,2,5,3,3,4,3,4,2,4,4,4,2,2,3,4,2
N219,2,2,5,3,2,2,2,1,1,1,5,3,2,4,3,3,2,6,2,5,5,2,5,5,2,5,2,2,2,3,2,4,4,3,2,2,3,2,5,1,3,5,4,4,2,5,3,4,1,2,3,2,2,1,5,2,2,4,1
N220,4,3,4,3,5,4,4,3,3,4,4,2,4,3,4,3,5,3,6,4,3,5,3,2,3,3,5,4,4,4,4,3,4,3,2,5,4,4,4,5,3,3,5,3,4,5,3,3,3,5,2,4,3,3,3,3,4,3,2
N221,4,1,3,3,2,4,4,2,1,1,1,1,2,1,4,1,1,3,3,6,2,3,1,2,2,2,3,4,3,2,2,2,5,2,3,3,4,2,1,4,4,1,1,1,1,5,1,2,3,1,1,3,1,3,1,1,5,5,1
N222,2,1,3,4,2,1,2,2,1,1,5,2,1,4,4,4,1,4,2,4,6,1,4,3,1,1,2,2,1,1,1,4,3,1,1,2,2,4,3,3,3,4,3,3,4,2,4,1,1,2,1,1,1,1,3,2,2,3,1
N223,2,2,4,2,3,3,3,2,3,4,1,1,3,1,2,1,5,2,5,2,1,6,2,2,4,2,5,3,3,4,3,3,2,3,1,2,2,2,1,2,2,1,3,1,3,1,1,4,3,3,1,5,4,1,1,1,4,1,1
N224,2,3,3,4,2,2,2,2,2,3,4,3,2,4,3,3,3,5,3,3,5,3,6,5,3,4,3,4,3,3,4,5,2,2,3,2,2,3,3,2,3,4,3,4,2,3,3,4,2,2,1,2,2,3,3,3,2,3,1
N225,2,2,3,4,2,2,2,1,1,2,4,4,2,3,4,3,2,5,2,4,4,2,5,6,3,5,2,3,3,4,2,4,2,2,2,3,2,4,4,1,3,4,2,3,2,1,4,3,3,1,1,2,3,3,2,2,4,3,1
N226,4,3,1,3,5,3,3,3,5,1,2,4,4,1,3,1,5,2,3,3,2,4,1,2,6,4,4,1,4,4,4,3,4,5,3,4,3,4,3,1,2,1,2,1,5,4,2,1,1,4,1,1,1,2,2,3,1,4,1
N227,2,2,2,3,3,3,3,3,3,3,2,4,3,2,3,2,3,4,3,2,2,3,3,3,3,6,3,2,3,3,3,3,2,2,2,3,3,3,4,3,4,3,1,3,3,3,2,3,1,2,1,1,2,1,1,1,1,2,1
N228,3,3,4,3,2,3,3,3,4,4,2,2,4,3,3,3,5,4,5,3,3,5,3,3,4,3,6,5,4,4,4,5,3,3,3,4,3,4,3,2,3,2,4,3,4,3,2,4,2,5,1,4,4,3,2,2,2,4,1
N229,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,3,2,1,2,3,1,3,1,2,1,1,3,6,1,1,2,2,1,1,1,2,1,1,1,1,3,1,3,1,1,1,2,3,1,5,1,1,1,1,1,1,1,1,1
N230,4,5,3,4,4,3,3,5,5,4,3,3,5,3,4,3,4,3,4,4,3,4,3,3,4,3,4,3,6,5,5,4,4,5,5,5,4,4,4,4,3,3,3,3,4,4,3,3,3,4,3,3,3,4,3,3,3,4,3
N231,2,5,2,5,3,3,3,5,5,5,2,2,5,2,3,2,4,2,4,1,1,5,3,3,4,3,4,3,5,6,5,4,3,5,5,5,4,4,2,3,3,2,2,1,3,3,3,4,3,3,2,3,3,1,1,1,4,4,1
N232,2,5,1,4,5,3,2,5,5,5,2,1,4,2,3,2,4,2,3,3,2,3,2,2,3,2,3,3,5,5,6,3,2,5,4,4,3,3,2,3,3,2,2,2,3,2,2,2,2,3,1,1,2,2,1,1,2,1,1
N233,2,1,2,5,2,2,2,2,2,3,3,2,2,2,5,2,3,2,1,2,5,3,3,5,1,3,4,3,2,2,4,6,2,1,1,1,1,5,3,1,2,4,2,2,4,1,3,2,1,2,1,1,2,1,1,1,1,3,1
N234,5,2,3,2,3,3,4,1,2,1,2,2,2,2,1,3,4,4,4,5,5,1,1,3,2,2,3,3,3,3,2,2,6,1,2,1,2,1,3,3,3,2,1,2,2,5,2,2,3,2,2,2,2,2,2,2,4,3,2
N235,2,5,2,4,3,1,1,5,5,2,1,1,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,5,5,5,1,1,6,5,5,3,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1
N236,1,5,1,4,3,3,2,5,5,1,1,1,5,1,3,3,1,1,1,3,1,1,1,3,1,1,1,1,5,5,3,2,1,4,6,3,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1
N237,2,5,2,1,4,2,2,4,4,2,2,1,5,1,2,1,2,1,3,3,1,2,1,1,2,1,2,2,3,3,4,1,2,5,3,6,4,2,2,5,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1
N238,3,5,2,2,4,3,1,5,5,3,1,1,5,1,2,1,2,1,2,3,1,3,1,1,3,2,3,1,5,5,5,1,3,5,4,5,6,1,2,5,4,1,1,1,3,3,2,1,2,1,1,3,2,1,1,1,5,5,1
N240,3,3,2,5,3,4,4,3,3,3,2,2,3,3,3,3,3,2,2,3,4,2,2,2,3,2,3,2,4,4,4,5,2,2,2,3,2,6,2,3,2,2,2,2,4,3,4,1,1,4,1,1,1,2,1,1,1,2,1
N241,2,1,2,2,3,2,2,1,1,2,2,2,1,5,1,5,3,4,2,2,3,2,2,5,4,5,2,4,3,1,1,4,2,1,2,2,2,1,6,2,5,2,2,5,2,3,5,5,2,2,1,2,2,2,2,2,2,2,2
N242,4,3,2,3,5,4,4,3,3,4,2,1,2,1,2,2,3,1,5,5,3,3,1,2,3,3,3,2,3,4,5,2,5,4,3,5,4,2,4,6,3,2,3,1,3,5,1,1,2,2,1,3,2,3,3,3,4,4,1
N243,3,2,2,3,1,1,2,4,4,1,1,5,2,3,4,4,2,2,1,3,2,1,1,3,1,5,1,4,2,2,2,2,1,5,1,1,4,2,4,2,6,3,1,4,1,1,3,1,1,3,1,2,2,1,1,1,1,1,1
N244,2,1,3,3,1,4,4,1,1,1,5,1,1,5,1,5,1,5,1,2,5,1,4,4,1,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,5,6,1,4,1,1,4,2,2,1,1,2,1,1,1,1,2,2,1
N245,2,1,4,2,2,1,1,1,1,2,3,1,2,5,2,1,5,1,4,5,4,2,2,3,3,2,4,5,3,2,2,4,1,1,2,1,1,4,2,1,2,2,6,2,1,4,3,3,5,1,4,3,2,2,2,2,4,5,1
N246,2,3,2,3,2,3,3,2,2,2,4,3,3,5,3,5,2,3,2,3,3,2,3,3,2,3,2,2,2,2,3,3,3,2,2,2,2,2,4,2,4,3,2,6,2,2,4,2,3,2,2,2,2,3,2,3,2,2,2
N247,2,2,1,4,5,4,4,1,1,5,1,1,3,1,3,1,5,1,2,1,3,3,1,1,5,2,3,1,3,2,3,4,1,3,1,2,1,3,1,2,1,1,1,1,6,2,1,2,1,3,1,1,2,1,1,1,1,3,1
N248,4,3,2,2,4,5,5,3,3,3,2,3,3,1,5,1,3,5,4,5,2,2,3,2,3,3,3,1,3,4,3,2,5,2,2,5,4,3,4,5,3,1,3,1,4,6,3,1,2,2,1,2,1,2,2,2,3,3,1
N249,2,2,2,4,2,5,5,2,2,1,4,4,1,4,2,5,2,1,2,1,3,1,2,5,1,1,1,2,1,4,1,5,2,1,1,1,2,4,4,1,3,4,1,4,1,2,6,5,2,1,1,1,1,2,1,1,2,2,1
N250,1,3,5,3,1,2,1,5,3,3,3,5,2,3,5,3,4,5,3,1,3,5,5,5,3,4,4,4,3,4,3,2,2,3,3,2,2,4,5,2,5,3,4,3,3,2,5,6,4,5,5,5,4,5,5,5,4,4,3
N251,2,3,2,2,1,3,3,3,2,1,2,4,4,2,3,1,1,2,2,3,2,4,1,3,1,1,3,1,2,3,2,2,2,4,2,2,2,1,2,2,4,3,2,1,2,1,2,4,6,4,2,5,5,3,2,4,5,2,2
N252,3,1,3,2,2,2,1,2,1,3,1,1,1,1,1,1,4,2,2,2,1,3,1,3,4,1,4,5,3,2,2,2,1,3,1,1,1,3,1,1,2,1,4,1,3,2,1,4,2,6,1,4,2,2,1,1,2,2,2
N253,2,4,4,4,2,4,3,4,4,4,3,3,4,3,4,2,3,3,3,1,2,3,2,2,2,2,2,2,3,3,2,2,3,3,3,2,2,2,3,2,4,4,3,3,2,2,3,5,4,3,6,4,5,3,5,5,5,3,5
N254,2,2,5,4,3,3,2,1,1,3,2,1,1,1,1,1,4,1,3,2,2,1,2,2,3,2,1,1,1,2,3,2,1,3,1,3,2,2,1,1,2,3,2,2,1,3,3,5,5,2,2,6,5,2,1,2,5,1,2
N255,1,1,2,2,1,2,1,1,2,3,2,2,3,1,3,1,5,3,3,1,1,5,3,5,2,3,5,2,3,4,3,2,2,4,1,2,2,2,2,1,3,2,2,1,3,2,2,5,5,3,3,5,6,3,2,3,5,3,3
N256,1,1,1,1,2,3,2,3,1,1,1,3,1,1,3,1,2,1,1,3,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,3,4,2,3,1,2,1,6,1,1,1,1,1
N257,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,2,1,3,2,1,1,6,5,2,2,1
N258,2,1,3,1,2,1,1,1,2,2,1,2,2,1,2,1,2,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1,2,3,3,1,2,3,2,1,5,6,3,1,3
N259,4,2,3,3,2,2,1,3,3,2,3,1,4,1,3,1,4,1,5,5,2,5,1,1,3,2,5,1,3,3,2,3,5,4,2,4,5,3,2,2,3,1,3,1,2,4,3,4,5,3,2,4,5,1,1,1,6,4,2
N260,2,3,2,1,1,3,1,3,3,1,1,1,3,1,3,1,2,1,2,3,1,1,1,2,1,2,2,1,3,3,1,2,2,3,2,3,3,1,2,2,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,2,6,1
N261,2,2,4,3,2,3,2,3,4,3,2,3,3,2,3,2,3,2,2,1,2,1,2,3,1,2,2,1,1,2,2,1,1,2,3,2,3,2,2,2,4,3,2,3,2,2,3,3,4,2,5,2,4,3,4,4,4,3,6
