ID,N700,N701,N702,N703,N704,N705,N706,N707,N708,N709,N710,N711,N712,N713,N714,N715,N717,N718,N719,N720,N722,N723,N724,N725,N726,N727,N728,N729,N730,N732,N733,N734,N735,N736,N737,N739,N740,N741,N742,N743,N744,N745,N746,N747,N748,N749,N750,N751,N752
N700,6,4,1,1,1,5,3,2,4,2,3,3,3,3,3,2,4,5,5,5,1,4,2,3,2,5,3,3,3,4,1,3,2,4,5,5,2,3,3,3,5,5,3,4,4,2,3,2,1
N701,3,6,1,1,4,5,1,2,3,1,1,1,2,3,1,1,1,5,5,2,1,2,1,1,1,3,1,2,3,1,1,1,1,2,3,2,2,2,2,3,3,4,1,2,3,2,1,1,1
N702,1,2,6,3,3,2,4,3,3,5,2,3,3,2,1,2,1,1,2,2,3,2,5,4,2,1,5,2,4,1,2,5,2,3,1,1,2,5,2,2,2,2,3,3,4,3,2,2,2
N703,2,2,3,6,3,2,4,2,3,3,2,3,3,5,4,4,2,2,2,3,5,2,3,2,4,2,3,3,2,3,1,4,3,5,2,3,4,2,4,4,4,2,4,3,3,2,4,2,2
N704,1,5,3,2,6,1,2,2,4,2,1,2,2,2,2,5,2,1,1,1,2,1,2,3,1,4,3,2,4,1,1,2,2,2,4,5,1,2,1,2,3,5,2,2,2,2,2,2,2
N705,4,4,2,1,2,6,2,2,4,2,1,2,2,2,2,2,2,5,5,3,1,2,2,2,1,5,2,2,4,1,1,1,1,2,4,5,1,1,1,1,3,4,1,1,2,2,2,2,1
N706,1,2,3,3,2,2,6,1,2,2,1,5,2,2,3,3,2,1,1,3,4,2,2,1,2,1,3,4,2,1,1,3,2,3,1,1,1,4,2,2,4,1,5,3,2,1,2,3,1
N707,1,1,3,2,2,2,2,6,2,3,4,2,2,1,4,2,2,2,1,2,2,5,4,5,1,1,4,1,2,5,2,4,1,1,3,1,2,4,1,1,2,1,1,1,2,1,1,4,1
N708,5,5,4,4,4,5,3,2,6,3,2,4,4,5,3,3,4,4,5,4,3,4,4,5,5,4,4,5,5,3,2,4,2,5,4,4,2,3,5,5,5,5,3,5,5,4,5,3,2
N709,1,2,5,3,2,2,3,3,2,6,2,2,3,1,2,2,1,1,1,1,2,2,5,4,2,1,5,2,2,1,2,5,2,1,1,1,2,5,1,1,2,2,3,3,3,1,1,2,2
N710,2,2,2,2,2,2,4,2,1,1,6,2,1,1,1,1,1,1,2,1,3,1,3,1,1,1,1,1,3,3,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1
N711,2,4,4,4,4,3,5,1,3,1,3,6,2,1,1,3,1,1,2,5,1,2,2,1,1,3,1,3,1,1,1,1,3,5,1,1,1,1,2,5,5,4,5,3,5,3,4,3,1
N712,1,3,5,3,1,3,1,3,1,5,3,1,6,1,3,3,3,1,3,1,3,1,4,4,4,1,4,1,1,1,1,4,1,1,1,3,3,4,1,1,1,1,1,1,1,3,1,3,1
N713,1,2,1,5,1,1,2,1,4,1,1,1,1,6,1,2,3,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,5,1,1,1,1,5,4,1,1,1,3,1,3,4,1,1
N714,3,2,3,4,3,2,4,4,3,3,2,3,3,3,6,3,5,4,3,4,4,5,3,3,3,3,3,4,4,5,2,3,3,3,4,4,4,3,3,4,4,4,4,3,4,5,4,5,3
N715,2,2,4,5,5,1,3,1,3,2,4,3,2,3,4,6,5,2,1,3,4,3,4,2,2,3,4,3,2,2,3,4,3,4,4,3,3,3,2,3,3,3,4,3,3,4,3,2,3
